customer_id,full_name,dob,gender,job_title,income,email,city,postal_code
CUST000000,dr charlie reynolds,01-10-1999,Male,"geologist, wellsite",unknown,mmeadows@beasley.net.au,East Tamara,SP3X 2AQ
CUST000001,JULIA LOPEZ,23-02-1956,Unknown,Retail manager,95516.3,michaelmitchell@gmail.com,WEST KENDRA,78505
CUST000002,Dr Karl Myers,1970/03/15,F,"psychologist, forensic",61280.83,iyersumer@yahoo.com,GHAZIABAD,2662
CUST000003,Katherine Nichols,16-04-1975,Other,immunologist,unknown,anaybrar@chad.com,lake alyssafurt,66020
CUST000004,Sean Gutierrez,1948-12-21,M,"Administrator, Civil Service",unknown,jessica89@gmail.com,BRITTANYVIEW,V2H2X3
CUST000005,jamie turner,2001-09-15,F,hydrogeologist,unknown,balayneysa_at_banerjee-brahmbhatt.com,west rose,LE10 7US
CUST000006,BHAMINI AMBLE,04-04-1971,M,tourism officer,26416.03,jimenezjanet@yahoo.com,AMBATTUR,E5E2X4
CUST000007,ojas balakrishnan,1973-07-09,Male,Accommodation manager,48152.68,bhardwajseher@hotmail.com,lake charlotte,32183
CUST000008,Lauren West,2007-04-08,,chartered management accountant,,tracy34@duncan.biz,new jennifer,KA97DR
CUST000009,Jill Meyers,1938-09-22,Male,Artsdevelopmentofficer,107573.56,tinarodriguez@bailey-foster.net,south jennifer,58784
CUST000010,linda ross,2005-10-09,,Technical brewer,43010.02,cassidywebb@yahoo.com,South Michael,2619
CUST000011,MRS HILARY WILSON,11-11-1938,,"Engineer, building services",unknown,zarazacharia@sahota.com,west benjaminhaven,S49 7GA
CUST000012,nishith chaudry,2001/11/09,F,Garment/textile technologist,105591.21,ahana-sane@ramesh.biz,kamarhati,862098
CUST000013,Audrey Marshall,1970-04-06,M,Therapeutic radiographer,,amitchell@yahoo.co.uk,New Donaldborough,R6C5E9
CUST000014,Traci Davis,27-06-1985,Other,Psychiatric nurse,45397.17,jeffrey85@moore.com,south jasminemouth,961378
CUST000015,Luke Rivera,10-12-1950,Male,"Nurse, adult",,darrylwright@fisher.com,lanefurt,B3Y9N9
CUST000016,Ahana  Amble,1992-12-11,Other,Waterqualityscientist,unknown,kbarrera@trevino-white.com,east dawn,X8E9E8
CUST000017,Susan Watson,26-12-1999,F,Sportsdevelopmentofficer,,uarroyo@becker-smith.com,west penny,BT4E 2WN
CUST000018,AARYAHI KURUVILLA,1980/08/24,Female,police officer,26194.18,arorajhanvi@sane-hayre.com,sonipat,N36YR
CUST000019,LORI ROBERSON,22-09-1953,,"programme researcher, broadcasting/film/video",,nlarsen@dixon.com,INDORE,89714
CUST000020,donna dorsey,1949-08-01,Male,"Engineer,broadcasting(operations)",unknown,michelleyork@cohen-hernandez.com,New Danielle,WC446BR
CUST000021,RENEE RAMAKRISHNAN,16-08-2006,M,civil service fast streamer,36943.34,qkaul@vasa.com,leahstad,C7P 9E4
CUST000022,BILLY TAYLOR,1976-11-14,M,Chartered certified accountant,60472.1,alex14@green.co.uk,VISAKHAPATNAM,89035
CUST000023,Linda Reynolds,1940-10-15,Unknown,"psychologist, clinical",72306.71,jamesreynolds@hicks.com,PORT ANNASHIRE,436891
CUST000024,Sarah Figueroa,1993/03/30,M,Learning mentor,66910.29,rhea12@bakshi.info,Coimbatore,8331
CUST000025,KATHLEEN CURTIS,1976-03-05,Unknown,Oncologist,111585.4,stephanie19@gmail.com,WALKERSHIRE,K4Y2A4
CUST000026,David Young,27-08-1967,Male,"Scientist, research (medical)",64435.43,zyates@yahoo.com,brandonburgh,M8J6T9
CUST000027,ZAINA CHANDA,1944-02-03,,fine artist,79069.64,victor47@bowen.org,BARASAT,2920
CUST000028,navya kashyap,1936/09/15,F,Make,,shannon58@yahoo.com,MARTINEZTON,2463
CUST000029,Barbara Allen,09-08-1991,Female,Transport planner,53734.59,kathleen15@gmail.com,New Chris,CB9B 4UR
CUST000030,melissa rojas,1988-05-03,Female,"Scientist,forensic",66571.33,shaankari@gmail.com,west trevor,93219
CUST000031,NICHOLAS MARTIN-MORTON,03-10-1965,Unknown,Banker,83290.11,rwilson@hotmail.com,aliciachester,15249
CUST000032,GINA WILLIAMS,1974-11-18,,aid worker,28977.35,awong@gmail.com,WILSONBERG,8789
CUST000033,miraya bhatti,1962/11/08,,Translator,74707.24,johnsondiane@yahoo.co.uk,Margaretfurt,23228
CUST000034,lagan andra,07-05-1947,F,"Surveyor, mining",89822.86,davisedward@jones.net,moradabad,2700
CUST000035,Mathew Roberts,1946-07-11,Other,communications engineer,105902.74,hbehl@vaidya.com,williamsberg,UB9H 3SZ
CUST000036,alicia hodges,1972/06/25,Other,Immunologist,unknown,oshere@gmail.com,LAKE MICHAELSIDE,533350
CUST000037,billy schmidt,02-12-1988,Male,Tourist information centre manager,76012.25,oapte@yahoo.com,Port Lauren,T1H4R6
CUST000038,Mr Howard Thomas,03-01-1944,F,"Lecturer, further education",119222.5,elizabeth32@johnson-hayes.net,Judithview,Y8E2C1
CUST000039,dr amber edwards,1974-08-31,F,Local government officer,,khanclifford@johnson.net,BHILWARA,B188NJ
CUST000040,joanna edwards,1968-09-14,F,Tax adviser,48849.68,bumbtiya@raj.com,LAURABURGH,H3H8E4
CUST000041,LAURA PITTMAN,15-05-1957,Other,clothing/textile technologist,22656.13,reederic@hotmail.com,JOSHUAHAVEN,4583
CUST000042,Zara Sandhu,23-08-1982,F,Occupational hygienist,74662.19,chenandre@carey-andrews.edu.au,Thomsonstad,2600
CUST000043,raunak khare,19-07-1937,M,restaurant manager,77055.96,aaron73@lambert.com,east dana,DH9X3YY
CUST000044,JOHN JONES,20-08-1941,Female,Primary school teacher,unknown,johnslynn@sanchez.com,WEST MELISSABERG,B2 0XN
CUST000045,Jeffrey Hill Jr.,1962/11/06,Unknown,"engineer, maintenance (it)",110368.16,pclarke@cook.com,raichur,TF0P8GA
CUST000046,Marc Palmer,21-12-1968,Other,associate professor,84936.82,alexanderadam@outlook.com,south davidmouth,7845
CUST000047,philip norton,18-10-1977,Male,Barista,58467.12,monroelaura@lam.net,West Markhaven,5825
CUST000048,Dean Pratt,20-11-1938,Other,paramedic,68602.21,dhanush93@gmail.com,jasonmouth,NE0 5BF
CUST000049,Tony Edwards,1982/10/09,Female,Oceanographer,unknown,kstevens@williams-smith.org,Ghaziabad,922404
CUST000050,Mr. Matthew Nelson PhD,1980-01-26,F,volunteer coordinator,unknown,ywilliams@nolan.org,Grahamhaven,13214
CUST000051,Darshit Kaur,1960/11/06,Unknown,Acupuncturist,38751.69,jennifer42@caldwell-hanson.org.au,port mollyside,500273
CUST000052,Amanda Johnson,1997/01/05,F,"Scientist, clinical (histocompatibility and immunogenetics)",21612.77,vreed@hotmail.com,barbarabury,RM2 9UT
CUST000053,BETHANY PEACOCK,1942/03/04,F,Clinical molecular geneticist,91400.72,jasonharper@hotmail.com.au,JOHNSONPORT,WD8 8AB
CUST000054,Tonya Hanson,1948/01/02,Male,"Programmer, systems",64713.52,tjackson@moore.com,TAYLORTOWN,70358
CUST000055,Jacob Chapman,1955-12-25,Male,"production designer, theatre/television/film",100621.15,connor81_at_french.com,MICHAELTOWN,22709
CUST000056,andrew crane,1964-10-24,Other,Charity officer,75403.87,uturner@mills.info,ambarnath,24424
CUST000057,Lori Jackson,22-03-2007,F,"Journalist, magazine",26498.74,deborahaguilar@moran-thomas.net.au,DANIELSHIRE,961581
CUST000058,joel newton,23-10-2005,,Professor Emeritus,unknown,kelly09@yahoo.com,north larry,A5M4A1
CUST000059,AARYAHI GHOSE,1946-06-28,Unknown,Purchasingmanager,109285.26,rsantiago@yahoo.com,lauraside,5165
CUST000060,Leah Turner,1936-03-03,M,"investment banker, corporate",72107.97,bward@hotmail.com,perryport,2249
CUST000061,BROOKE WRIGHT,2003/02/02,Female,"Restaurant manager, fast food",42275.69,danny30@hotmail.com,St. Dawnfurt,N2 3BP
CUST000062,RACHEL ALLEN,1948/11/09,,Musictutor,79486.4,lesliemann@daniels-ortega.net,Devinside,713358
CUST000063,kristi stewart,2007/04/21,Female,tax adviser,45672.72,vivaan71@guha.com,SOUTH MARKLAND,908
CUST000064,Javier Walker,1948-07-18,M,"Accountant,charteredpublicfinance",unknown,uwilkins@shepherd.net,morena,4466
CUST000065,todd boyd,1975-09-19,,"accountant, chartered",unknown,sgibson@bradley-davis.co.uk,codyhaven,23682
CUST000066,Eddie Hicks,1990/07/17,Female,"Educationofficer,environmental",110015.89,natalieparkinson@gmail.com,Raymondton,345177
CUST000067,Kelli Cooper,1972/05/02,Unknown,Medical illustrator,,scraig_at_lewis.org,hannahfort,E5S2X7
CUST000068,Tanya Ravel,12-04-1953,,"education officer, community",26439.41,aguilaredward@yahoo.com,Ujjain,LE58JR
CUST000069,Sarah Wells,10-12-1937,,Trade union research officer,,matthewflores@brooks-ward.com,gopalpur,2540
